Year,LGA_name,LGA_code,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD)
2012,SHIRE OF MANSFIELD,24250,29.0,1.0,0.03806661657901327,1469013.14
2012,SHIRE OF MOIRA,24900,34.0,1.0,0.05715098094967302,1770501.09
2012,SHIRE OF TOWONG,26670,10.0,1.0,0.0426179604261796,395325.39
2012,RURAL CITY OF ARARAT,20260,88.00000000000001,2.0,0.04658436213991769,5624389.579999999
2012,SHIRE OF SOUTHERN GRAMPIANS,26260,75.0,2.0,0.04332449160035367,6942509.49
2012,SHIRE OF CORANGAMITE,21830,56.99999999999999,2.0,0.031864754098360655,3397149.9
2012,Borough of Queenscliffe,26080,47.0,2.0,0.022222222222222223,1790183.55
2012,SHIRE OF CENTRAL GOLDFIELDS,21670,96.0,2.0,0.0832904884318766,7931347.19
2012,SHIRE OF HEPBURN,22910,50.0,2.0,0.058720302375809934,2669844.92
2012,SHIRE OF MURRINDINDI,25620,16.0,1.0,0.04605175846051759,1153606.75
2012,SHIRE OF MOUNT ALEXANDER,25430,30.000000000000004,1.0,0.04840626688276607,3198370.93
2012,SHIRE OF STRATHBOGIE,26430,27.0,1.0,0.047715736040609136,1394413.34
2012,SHIRE OF GANNAWARRA,22250,45.0,1.0,0.03671274961597542,1556634.75
2012,Shire of Campaspe,21370,167.0,3.0,0.052862300154718926,8114123.620000001
2012,Shire of Wellington,26810,324.0,8.0,0.042488619119878605,23543015.310000002
2012,Shire of Mitchell,24850,193.0,5.0,0.05770484033414302,15733563.810000002
2012,Shire of Northern Grampians,25810,88.0,3.0,0.04870670095295719,5595021.3500000015
2012,Rural City of Wodonga,27170,119.00000000000001,3.0,0.06391246548726864,7450526.28
2012,City of Warrnambool,26730,227.0,6.0,0.05001636304134395,18639839.689999998
2012,Shire of Colac-Otway,21750,110.0,5.0,0.0508086913902957,7518931.409999999
2012,City of Greater Bendigo,22620,547.0,10.0,0.04904930019175283,47459788.26
2012,Shire of Alpine,20110,63.0,3.0,0.04716981132075472,2884895.09
2012,City of Ballarat,20570,616.0000000000001,13.0,0.06226096969198503,55938278.699999996
2012,City of Greater Geelong,22750,1303.0,25.0,0.05846255763883441,116525894.57
2012,Shire of Moorabool,25150,110.0,3.0,0.04068494059865932,8495495.58
2012,Rural City of Swan Hill,26610,138.0,4.0,0.045447127937336816,7193380.26
2012,City of Greater Shepparton,22830,325.0,7.0,0.07990584343289754,30565582.379999995
2012,Shire of Glenelg,22410,105.0,4.0,0.058490884537474676,7343284.130000001
2012,Rural City of Mildura,24780,285.0,8.0,0.07137454445437667,25255276.400000002
2012,Shire of East Gippsland,22110,332.0,10.0,0.05401498225785254,24314026.84
2012,Shire of Bass Coast,20740,198.0,5.0,0.048499651081646895,19134332.55
2012,City of Latrobe,23810,522.0,13.0,0.06556983307313559,47329538.50000001
2012,Shire of Surf Coast,26490,107.00000000000001,4.0,0.032794249775381853,3698923.57
2012,Shire of South Gippsland,26170,101.0,4.0,0.03232812112186647,6618473.569999999
2012,Shire of Macedon Ranges,24130,95.0,3.0,0.02590566194147393,9489139.02
2012,Rural City of Benalla,21010,90.0,3.0,0.062095552801872504,5168843.34
2012,Rural City of Horsham,23190,147.0,4.0,0.040754582665954796,9295864.7
2012,Shire of Baw Baw,20830,175.0,4.0,0.04174000502891627,13146890.43
2012,Rural City of Wangaratta,26700,130.0,4.0,0.05332005312084993,8255931.13
2012,City of Melbourne,24600,696.0,11.0,0.05261579179532422,70308561.85
2012,City of Moreland,25250,732.0,15.0,0.0501488682426373,69605532.52
2012,City of Darebin,21890,883.0,14.0,0.06629987333755541,89265723.15
2012,City of Boroondara,21110,197.0,5.0,0.03136791474893229,20182384.37
2012,City of Whitehorse,26980,481.0,7.0,0.05104488628500254,55013142.67
2012,City of Manningham,24210,570.0,7.0,0.041899020346646575,65318584.66
2012,City of Banyule,20660,639.0,11.0,0.03782123807984484,57804745.48
2012,Shire of Nillumbik,25710,80.0,2.0,0.021857794371322573,9303211.71
2012,City of Maroondah,24410,711.9999999999999,10.0,0.04288898651177169,66782903.16
2012,City of Knox,23670,800.0,11.0,0.037163451346194615,85588265.07000001
2012,City of Monash,24970,969.0,14.999999999999998,0.051065663359677146,122352426.14999999
2012,City of Port Phillip,25900,367.0,10.0,0.040161739795639584,27583235.029999997
2012,City of Kingston,23430,881.0,16.0,0.060580223922457314,86504008.27000001
2012,City of Greater Dandenong,22670,945.0,15.0,0.08620716258544338,117556980.98000002
2012,City of Frankston,22170,554.0,10.0,0.0701289063573647,71286100.35
2012,City of Casey,21610,890.9999999999999,13.0,0.053588590320224505,125835347.02
2012,Shire of Cardinia,21450,225.0,4.0,0.05025921658986175,21875156.159999996
2012,Shire of Yarra Ranges,27450,427.0,8.0,0.03831703758171812,30695265.34
2012,City of Whittlesea,27070,621.0,9.0,0.0728104399300417,102280343.42999999
2012,City of Hume,23270,751.0,13.999999999999998,0.07819574860303014,103993534.42999999
2012,City of Brimbank,21180,938.0,15.000000000000002,0.09064058386661815,145619089.79999998
2012,Shire of Melton,24650,486.99999999999994,7.0,0.08892045454545454,56522260.25999999
2012,City of Hobsons Bay,23110,560.0,10.0,0.05518294570443899,52632388.379999995
2012,City of Wyndham,27260,654.0,10.0,0.08494088363410081,88533566.15
2012,Shire of Mornington Peninsula,25340,826.0,17.0,0.04693744286273998,83581310.21
2012,City of Yarra,27350,308.0,8.0,0.06129576514256791,31424190.89
2012,City of Maribyrnong,24330,421.0,10.0,0.0796774528106202,56099418.11
2012,City of Stonnington,26350,273.0,7.0,0.029343855034341663,23511315.729999997
2012,City of Glen Eira,22310,748.0,11.0,0.040235382435917615,74342426.78
2012,City of Bayside,20910,273.0,7.0,0.03176539216206183,18137210.889999997
2012,City of Moonee Valley,25060,746.0,11.0,0.035848629050532516,77910935.19999999
2012,Shire of Buloke,21270,0.0,0.0,0.030367045154475837,0.0
2012,Shire of Golden Plains,22490,0.0,0.0,0.0389038903890389,0.0
2012,Shire of Hindmarsh,22980,0.0,0.0,0.03820086260012323,0.0
2012,Shire of Indigo,23350,0.0,0.0,0.03720820002369949,0.0
2012,Shire of Loddon,23940,0.0,0.0,0.04158878504672897,0.0
2012,Shire of Moyne,25490,0.0,0.0,0.030134397312053758,0.0
2012,Shire of Pyrenees,25990,0.0,0.0,0.053763440860215055,0.0
2012,Shire of West Wimmera,26890,0.0,0.0,0.027550260610573342,0.0
2012,Shire of Yarriambiack,27630,0.0,0.0,0.03561505430664309,0.0
2013,SHIRE OF MANSFIELD,24250,40.0,1.0,0.036182612918892666,1643498.61
2013,SHIRE OF MOIRA,24900,98.00000000000001,2.0,0.05333609328641413,3107724.28
2013,SHIRE OF TOWONG,26670,10.0,1.0,0.0437481525273426,381071.04
2013,RURAL CITY OF ARARAT,20260,88.0,2.0,0.05857933579335793,5198022.37
2013,SHIRE OF SOUTHERN GRAMPIANS,26260,75.0,2.0,0.05146023100760635,6633868.96
2013,SHIRE OF CORANGAMITE,21830,56.99999999999999,2.0,0.034087569791360565,3075941.81
2013,Borough of Queenscliffe,26080,47.0,2.0,0.030116358658453114,1511657.57
2013,SHIRE OF CENTRAL GOLDFIELDS,21670,95.99999999999999,2.0,0.10696248196248197,7294540.65
2013,SHIRE OF HEPBURN,22910,50.0,2.0,0.061460957178841306,2670306.29
2013,SHIRE OF MURRINDINDI,25620,16.0,1.0,0.04341105242818498,1080190.75
2013,SHIRE OF MOUNT ALEXANDER,25430,29.999999999999996,1.0,0.06054398543302606,3009247.96
2013,SHIRE OF STRATHBOGIE,26430,32.0,1.0,0.04748768472906404,1208095.79
2013,SHIRE OF GANNAWARRA,22250,45.0,1.0,0.04494018752020692,1394736.79
2013,Shire of Campaspe,21370,209.0,4.0,0.04974974974974975,7360579.879999999
2013,Shire of Wellington,26810,314.0,8.0,0.03638991066736731,21947483.5
2013,Shire of Mitchell,24850,217.0,5.0,0.05808937712083741,14894489.020000001
2013,Shire of Northern Grampians,25810,87.99999999999999,3.0,0.05432937181663837,4943393.11
2013,Rural City of Wodonga,27170,180.0,4.0,0.06221163863670189,7235537.359999999
2013,City of Warrnambool,26730,215.0,7.0,0.06034886748242645,16367438.670000002
2013,Shire of Colac-Otway,21750,110.0,5.0,0.06162618136374287,7118672.820000001
2013,City of Greater Bendigo,22620,609.0,11.0,0.06349955627726063,45393331.24999999
2013,Shire of Alpine,20110,63.0,3.0,0.04334783260836958,2631803.73
2013,City of Ballarat,20570,631.0,14.000000000000002,0.06901049158946622,52533913.09
2013,City of Greater Geelong,22750,1327.0,25.0,0.06904476418864908,108207990.95
2013,Shire of Moorabool,25150,110.0,3.0,0.04616530156366344,7876144.56
2013,Rural City of Swan Hill,26610,134.0,4.0,0.05632351678543831,7079880.72
2013,City of Greater Shepparton,22830,329.0,8.0,0.07436435448037522,29023614.490000002
2013,Shire of Glenelg,22410,120.0,4.0,0.06546658056183403,6925842.790000001
2013,Rural City of Mildura,24780,285.0,8.0,0.08881888623361575,24827820.97
2013,Shire of East Gippsland,22110,330.99999999999994,10.0,0.04885353299017314,21432405.189999998
2013,Shire of Bass Coast,20740,206.0,5.0,0.04867322599880739,15111575.390000002
2013,City of Latrobe,23810,522.0,13.0,0.05874509602810329,43758066.919999994
2013,Shire of Surf Coast,26490,107.0,4.0,0.03906138217198455,2878670.79
2013,Shire of South Gippsland,26170,105.0,4.0,0.028755052010865964,6669516.970000001
2013,Shire of Macedon Ranges,24130,95.0,3.0,0.03343664062158977,9144677.34
2013,Rural City of Benalla,21010,105.0,3.0,0.06143982903699746,5240667.09
2013,Rural City of Horsham,23190,148.0,3.0,0.04646330313357161,9291228.290000001
2013,Shire of Baw Baw,20830,186.0,4.0,0.037504475474400285,12138619.079999998
2013,Rural City of Wangaratta,26700,130.0,4.0,0.05068916655931985,7756823.520000001
2013,City of Melbourne,24600,742.0,11.0,0.050000890963844684,70739983.13
2013,City of Moreland,25250,714.0,15.000000000000002,0.0446692607003891,63669829.73
2013,City of Darebin,21890,786.0,12.999999999999998,0.06591234936257605,82386001.17
2013,City of Boroondara,21110,197.00000000000003,5.0,0.03218090452261307,19132153.5
2013,City of Whitehorse,26980,450.0,7.0,0.055206352756962306,50781660.09
2013,City of Manningham,24210,509.0,7.0,0.04727091953854927,58313226.92999999
2013,City of Banyule,20660,620.0,10.0,0.03934702919380785,55261443.42
2013,Shire of Nillumbik,25710,80.0,2.0,0.023226761671216397,7761178.549999999
2013,City of Maroondah,24410,704.0,10.0,0.04693626078189762,62415124.12
2013,City of Knox,23670,763.0,11.0,0.03879193511394675,74895446.68
2013,City of Monash,24970,950.0,15.0,0.05408023822635583,112663385.35
2013,City of Port Phillip,25900,357.0,10.0,0.037778299217380504,24788263.9
2013,City of Kingston,23430,879.0,16.0,0.07482715629604443,78986274.55
2013,City of Greater Dandenong,22670,921.9999999999999,15.0,0.09197157544602359,109299013.48
2013,City of Frankston,22170,534.0,10.0,0.06723212309054682,62225277.19
2013,City of Casey,21610,875.0,13.0,0.05798716751513691,114485606.97
2013,Shire of Cardinia,21450,243.0,4.0,0.05763209117323479,20595653.84
2013,Shire of Yarra Ranges,27450,332.0,7.000000000000001,0.04113072767140629,26013535.349999998
2013,City of Whittlesea,27070,608.0,9.0,0.07952301982152729,93238924.88
2013,City of Hume,23270,792.0000000000001,14.0,0.06997719261870206,98760072.21
2013,City of Brimbank,21180,946.0,15.0,0.08947177063314808,137637439.13
2013,Shire of Melton,24650,486.99999999999994,7.0,0.09015893022431416,53565855.91000001
2013,City of Hobsons Bay,23110,577.0,10.0,0.05190124346729141,47861113.63
2013,City of Wyndham,27260,891.0,13.0,0.08731335090030742,87822812.06
2013,Shire of Mornington Peninsula,25340,806.0,17.0,0.046022958881773594,78899226.33
2013,City of Yarra,27350,308.00000000000006,8.0,0.054566537071141126,29671353.130000003
2013,City of Maribyrnong,24330,416.0,10.0,0.07769726247987117,52788996.00000001
2013,City of Stonnington,26350,295.0,7.0,0.0321371104648588,21423048.7
2013,City of Glen Eira,22310,731.0,11.0,0.0504115352159184,71085293.03999999
2013,City of Bayside,20910,268.0,7.0,0.03744375401757017,15823311.670000002
2013,City of Moonee Valley,25060,726.0,11.000000000000002,0.034578247937759155,71499311.56
2013,Shire of Buloke,21270,0.0,0.0,0.04028896915809947,0.0
2013,Shire of Golden Plains,22490,0.0,0.0,0.04487179487179487,0.0
2013,Shire of Hindmarsh,22980,0.0,0.0,0.04647806004618937,0.0
2013,Shire of Indigo,23350,0.0,0.0,0.03700298781889221,0.0
2013,Shire of Loddon,23940,0.0,0.0,0.05846229427659052,0.0
2013,Shire of Moyne,25490,0.0,0.0,0.03853487205218264,0.0
2013,Shire of Pyrenees,25990,0.0,0.0,0.05827963014850098,0.0
2013,Shire of West Wimmera,26890,0.0,0.0,0.029647715381932335,0.0
2013,Shire of Yarriambiack,27630,0.0,0.0,0.039252778434618114,0.0
2014,SHIRE OF MANSFIELD,24250,40.0,1.0,0.03438661710037175,1514346.66
2014,SHIRE OF MOIRA,24900,98.0,2.0,0.05953779866823345,3602343.3
2014,SHIRE OF TOWONG,26670,10.0,1.0,0.04317958783120707,370088.62
2014,RURAL CITY OF ARARAT,20260,88.0,2.0,0.0523972602739726,5474829.149999999
2014,SHIRE OF SOUTHERN GRAMPIANS,26260,75.0,2.0,0.06551082150337445,6216059.359999999
2014,SHIRE OF CORANGAMITE,21830,57.0,2.0,0.04674003076558987,2949436.9
2014,Borough of Queenscliffe,26080,44.0,2.0,0.02768729641693811,1583922.24
2014,SHIRE OF CENTRAL GOLDFIELDS,21670,98.99999999999999,2.0,0.07400232468035645,7165932.76
2014,SHIRE OF HEPBURN,22910,50.0,2.0,0.0374899220639613,2495565.07
2014,SHIRE OF MURRINDINDI,25620,16.0,1.0,0.04582325316635833,1231368.55
2014,SHIRE OF MOUNT ALEXANDER,25430,30.0,1.0,0.06273143106077107,3218786.43
2014,SHIRE OF STRATHBOGIE,26430,32.0,1.0,0.04382551710014335,1262300.02
2014,SHIRE OF GANNAWARRA,22250,45.0,1.0,0.03642445642073964,1393215.72
2014,Shire of Campaspe,21370,209.0,4.0,0.059892367339853016,7490818.13
2014,Shire of Wellington,26810,304.0,6.999999999999999,0.04772255705957909,21566360.32
2014,Shire of Mitchell,24850,228.0,5.0,0.06155950752393981,14934680.159999998
2014,Shire of Northern Grampians,25810,88.0,3.0,0.046278924327704814,4875816.32
2014,Rural City of Wodonga,27170,169.0,4.0,0.05789344463540388,6900172.960000001
2014,City of Warrnambool,26730,234.0,8.0,0.06540784676497796,17318805.250000004
2014,Shire of Colac-Otway,21750,110.0,5.0,0.0729602035253498,7125457.180000001
2014,City of Greater Bendigo,22620,614.0,11.0,0.06827105984188758,46243389.76
2014,Shire of Alpine,20110,63.0,3.0,0.0390104662226451,2749847.42
2014,City of Ballarat,20570,663.0,15.000000000000002,0.04447736176350205,53642391.940000005
2014,City of Greater Geelong,22750,1331.0,25.0,0.062370877649399345,110044225.76
2014,Shire of Moorabool,25150,110.00000000000001,3.0,0.04776915615906886,7814318.159999999
2014,Rural City of Swan Hill,26610,134.0,4.0,0.0442331181294713,6678962.650000001
2014,City of Greater Shepparton,22830,329.0,8.0,0.07675086875167067,29376039.78
2014,Shire of Glenelg,22410,120.0,4.0,0.08026984747751272,6530421.4399999995
2014,Rural City of Mildura,24780,285.0,8.0,0.06475940941118154,24700237.3
2014,Shire of East Gippsland,22110,332.0,10.0,0.06558984415316338,22323581.830000006
2014,Shire of Bass Coast,20740,216.0,5.0,0.06128918633321592,15087373.600000001
2014,City of Latrobe,23810,522.0,12.999999999999998,0.07462728551336147,44333812.33
2014,Shire of Surf Coast,26490,107.0,4.0,0.03136213578297689,2855819.51
2014,Shire of South Gippsland,26170,105.0,4.0,0.03861979354652422,6514572.41
2014,Shire of Macedon Ranges,24130,95.0,3.0,0.03743618831537152,8360298.91
2014,Rural City of Benalla,21010,105.0,3.0,0.05987501816596425,5285457.34
2014,Rural City of Horsham,23190,148.0,3.0,0.03716394306800211,9498045.33
