Year,LGA_name,LGA_code,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD)
2014,Shire of Baw Baw,20830,198.0,4.0,0.04130614374538023,12641199.170000002
2014,Rural City of Wangaratta,26700,130.0,4.0,0.04940222619211213,7856837.79
2014,City of Melbourne,24600,744.0,11.0,0.049518291450515395,72707033.11
2014,City of Moreland,25250,721.0,15.0,0.07984554919671792,63642789.1
2014,City of Darebin,21890,787.0,13.0,0.08309112888705986,82359807.15
2014,City of Boroondara,21110,202.0,5.0,0.04400933873205283,19414918.54
2014,City of Whitehorse,26980,425.0,6.0,0.06707400540076407,51944253.64
2014,City of Manningham,24210,509.0,7.0,0.06774054612800413,55677479.580000006
2014,City of Banyule,20660,620.0,10.0,0.05065516619582858,55019402.309999995
2014,Shire of Nillumbik,25710,80.0,2.0,0.02946708463949843,7281530.47
2014,City of Maroondah,24410,718.0,10.0,0.06410126411140404,62294867.29000001
2014,City of Knox,23670,763.0,11.0,0.05480653422046563,74200233.9
2014,City of Monash,24970,957.0,15.0,0.03345432096137266,109202526.58
2014,City of Port Phillip,25900,384.0,10.0,0.053568880390422104,26153986.770000003
2014,City of Kingston,23430,895.0,16.0,0.0607752087192936,79825384.39
2014,City of Greater Dandenong,22670,937.9999999999999,15.0,0.1120180541918844,110134642.60999998
2014,City of Frankston,22170,534.0,10.0,0.07187841128558234,60249332.64
2014,City of Casey,21610,888.0,13.0,0.06686142425075611,113243208.1
2014,Shire of Cardinia,21450,243.0,4.0,0.05789918207681365,21217863.099999998
2014,Shire of Yarra Ranges,27450,412.0,8.0,0.05776155477728999,26635127.98
2014,City of Whittlesea,27070,648.0,10.0,0.08046428844410959,96219037.65
2014,City of Hume,23270,805.0,14.0,0.0998030348045203,101822277.67999999
2014,City of Brimbank,21180,946.0,14.999999999999998,0.09289389514671116,138542665.59
2014,Shire of Melton,24650,493.0,7.0,0.06743803611905362,54211051.12999999
2014,City of Hobsons Bay,23110,577.0,10.0,0.053180396246089674,47196551.19
2014,City of Wyndham,27260,891.0,13.0,0.062027769715468084,90342545.32
2014,Shire of Mornington Peninsula,25340,806.0,17.0,0.052516678418397786,79046839.16999999
2014,City of Yarra,27350,308.0,8.0,0.07688270320163611,30077711.860000003
2014,City of Maribyrnong,24330,392.0,9.0,0.06647681387342202,52905865.71
2014,City of Stonnington,26350,295.0,7.0,0.04101449501978015,21575746.540000003
2014,City of Glen Eira,22310,772.0,11.0,0.04865879625546498,72059137.19
2014,City of Bayside,20910,248.0,6.0,0.03645954092279156,15788451.25
2014,City of Moonee Valley,25060,726.0,11.0,0.058077844030236164,72123897.08
2014,Shire of Buloke,21270,0.0,0.0,0.03568075117370892,0.0
2014,Shire of Golden Plains,22490,0.0,0.0,0.03113373800665753,0.0
2014,Shire of Hindmarsh,22980,0.0,0.0,0.04010970174837161,0.0
2014,Shire of Indigo,23350,0.0,0.0,0.03463100071650346,0.0
2014,Shire of Loddon,23940,0.0,0.0,0.07418899858956277,0.0
2014,Shire of Moyne,25490,0.0,0.0,0.04115180935569285,0.0
2014,Shire of Pyrenees,25990,0.0,0.0,0.047465288989344524,0.0
2014,Shire of West Wimmera,26890,0.0,0.0,0.0258732212160414,0.0
2014,Shire of Yarriambiack,27630,0.0,0.0,0.037292025243832475,0.0
2015,City of Whittlesea,27070,660.0,10.0,0.07873918544960753,101646865.58000001
2015,Shire of Nillumbik,25710,80.0,2.0,0.027500199856103604,7514346.44
2015,RURAL CITY OF ARARAT,20260,88.0,2.0,0.059719789842381785,5260422.33
2015,Shire of Northern Grampians,25810,78.0,3.0,0.05492575443078397,4777457.5200000005
2015,Borough of Queenscliffe,26080,30.000000000000004,1.0,0.03926282051282051,1439556.7100000004
2015,City of Greater Geelong,22750,1366.0,26.0,0.08244286138319976,111581393.5
2015,SHIRE OF CORANGAMITE,21830,57.00000000000001,2.0,0.03708266600960946,2932316.66
2015,Shire of Colac-Otway,21750,110.0,5.0,0.05695364238410596,7330981.99
2015,SHIRE OF HEPBURN,22910,50.00000000000001,2.0,0.03879251468378637,2606330.5999999996
2015,Shire of Moorabool,25150,110.0,3.0,0.056574373726477285,7969313.899999999
2015,SHIRE OF CENTRAL GOLDFIELDS,21670,99.0,2.0,0.09043927648578812,6883730.52
2015,SHIRE OF MOUNT ALEXANDER,25430,29.999999999999996,1.0,0.06418542455983954,3215859.4499999997
2015,SHIRE OF MANSFIELD,24250,40.0,1.0,0.03845283872427053,1677514.76
2015,SHIRE OF MURRINDINDI,25620,25.0,1.0,0.051377925495083784,1442480.86
2015,Shire of Mitchell,24850,228.0,5.0,0.07712317549014885,15754672.14
2015,SHIRE OF TOWONG,26670,10.0,1.0,0.057635949202214265,318358.87
2015,Shire of Alpine,20110,63.00000000000001,3.0,0.044420199501246885,2802096.85
2015,SHIRE OF MOIRA,24900,97.99999999999999,2.0,0.06668138661956281,3874677.6100000003
2015,SHIRE OF STRATHBOGIE,26430,32.0,1.0,0.05207712184456371,1318809.1900000002
2015,Rural City of Benalla,21010,105.0,3.0,0.07269070535842552,4866018.049999999
2015,SHIRE OF GANNAWARRA,22250,45.0,1.0,0.042434715821812595,1498998.3099999998
2015,Shire of Campaspe,21370,209.0,4.0,0.06419510061242345,8159437.359999999
2015,Shire of Glenelg,22410,120.0,4.0,0.06342408483736107,6893539.01
2015,SHIRE OF SOUTHERN GRAMPIANS,26260,75.0,2.0,0.054322501532801964,6290788.230000001
2015,Shire of Wellington,26810,308.0,6.999999999999999,0.04593292483277983,21450507.97
2015,Rural City of Wodonga,27170,144.0,4.0,0.07498815727143533,7472194.92
2015,City of Warrnambool,26730,234.0,8.0,0.05068400986768334,18222763.259999998
2015,City of Greater Bendigo,22620,629.0,11.0,0.07103187236902614,47678424.57
2015,City of Ballarat,20570,663.0,15.0,0.05082393416345759,53623993.63
2015,Rural City of Swan Hill,26610,141.0,4.0,0.04929704397981254,6532534.529999999
2015,City of Greater Shepparton,22830,329.0,8.0,0.08041979949874686,31380787.260000005
2015,Rural City of Mildura,24780,285.0,8.0,0.0751467850494057,25640869.010000005
2015,Shire of East Gippsland,22110,332.0,10.0,0.05971885603490063,22343699.93
2015,Shire of Bass Coast,20740,216.0,5.0,0.05565729234793983,15851964.940000001
2015,City of Latrobe,23810,522.0,13.0,0.06923650700623368,43613709.09
2015,Shire of Surf Coast,26490,71.0,3.0,0.03831310083502912,2818479.72
2015,Shire of South Gippsland,26170,105.0,4.0,0.03331053351573188,6592483.67
2015,Shire of Macedon Ranges,24130,103.0,3.0,0.033023861878003095,8656079.05
2015,Rural City of Horsham,23190,148.0,3.0,0.04223078992199408,9531130.75
2015,Shire of Baw Baw,20830,198.0,4.0,0.0362298330031135,13295313.54
2015,Rural City of Wangaratta,26700,136.0,4.0,0.0641736543143089,8128251.050000001
2015,City of Melbourne,24600,746.0,11.0,0.04868987867051338,75868075.11
2015,City of Moreland,25250,671.0,13.999999999999998,0.0745478809074594,63521371.65
2015,City of Darebin,21890,777.0,13.000000000000002,0.07815771109560363,83857397.07000001
2015,City of Boroondara,21110,202.0,5.0,0.040171442112529494,20957038.26
2015,City of Whitehorse,26980,366.0,6.0,0.06138095515095108,51581759.5
2015,City of Manningham,24210,509.0,7.0,0.06052876439824173,56406754.76
2015,City of Banyule,20660,589.0,9.0,0.04885482760136571,54512648.72
2015,City of Maroondah,24410,737.0,10.0,0.0561159325364336,61694366.5
2015,City of Knox,23670,686.0,10.0,0.05162987532883449,73362492.12
2015,City of Monash,24970,957.0,15.0,0.03848988271955867,114356289.27
2015,City of Port Phillip,25900,384.0,10.0,0.05025111206772851,28842530.389999997
2015,City of Kingston,23430,895.0,16.0,0.06557056653555811,81509892.75000001
2015,City of Greater Dandenong,22670,952.0,15.0,0.12358257065561504,117004770.07000001
2015,City of Frankston,22170,534.0,10.0,0.0786975349766822,62065687.29000001
2015,City of Casey,21610,888.0,13.0,0.07867891863097616,119384478.72
2015,Shire of Cardinia,21450,303.0,5.0,0.06784894816975104,23259238.9
2015,Shire of Yarra Ranges,27450,444.0,9.0,0.055359772140288206,28786766.799999997
2015,City of Hume,23270,805.0,14.0,0.08941517119180613,104943985.94999999
2015,City of Brimbank,21180,946.0,15.0,0.09934553434964925,141609226.77
2015,Shire of Melton,24650,493.0,7.0,0.07619439868204284,57349284.44
2015,City of Hobsons Bay,23110,577.0,10.0,0.05801457731675213,46430981.96
2015,City of Wyndham,27260,891.0,13.0,0.06956944567235435,93116687.86
2015,Shire of Mornington Peninsula,25340,821.0,17.0,0.056159786520033964,79400240.34
2015,City of Yarra,27350,308.0,8.0,0.07362734011810529,31084714.55
2015,City of Maribyrnong,24330,402.0,9.0,0.07260848126232741,52994016.09
2015,City of Stonnington,26350,287.0,7.0,0.04042440152509532,23019972.590000004
2015,City of Glen Eira,22310,772.0,11.0,0.05150554675118859,73555920.9
2015,City of Bayside,20910,217.99999999999997,5.0,0.04017410740544674,15813241.530000001
2015,City of Moonee Valley,25060,732.0,11.0,0.05608825975737983,74747047.29000002
2015,Shire of Buloke,21270,0.0,0.0,0.044103234237177394,0.0
2015,Shire of Golden Plains,22490,0.0,0.0,0.04027231757599003,0.0
2015,Shire of Hindmarsh,22980,0.0,0.0,0.048625792811839326,0.0
2015,Shire of Indigo,23350,0.0,0.0,0.046674445740956826,0.0
2015,Shire of Loddon,23940,0.0,0.0,0.07142857142857142,0.0
2015,Shire of Moyne,25490,0.0,0.0,0.031182181610508283,0.0
2015,Shire of Pyrenees,25990,0.0,0.0,0.048273657289002556,0.0
2015,Shire of West Wimmera,26890,0.0,0.0,0.03558558558558558,0.0
2015,Shire of Yarriambiack,27630,0.0,0.0,0.05141158989598811,0.0
2016,City of Whittlesea,27070,691.0,10.0,0.061013938916216835,103399181.7
2016,Shire of Nillumbik,25710,80.0,2.0,0.020646732512515222,8252420.6899999995
2016,RURAL CITY OF ARARAT,20260,88.0,2.0,0.07028360049321825,4937199.99
2016,Shire of Northern Grampians,25810,65.0,2.0,0.05684803001876173,4113493.25
2016,Borough of Queenscliffe,26080,30.0,1.0,0.026985350809560524,1350945.4600000002
2016,City of Greater Geelong,22750,1265.0,25.0,0.05915025797620301,111854042.58
2016,SHIRE OF CORANGAMITE,21830,56.99999999999999,2.0,0.027758174547165372,2672374.33
2016,Shire of Colac-Otway,21750,110.0,5.0,0.03672265904217298,7490513.610000001
2016,SHIRE OF HEPBURN,22910,50.0,2.0,0.05554793581127417,2602018.06
2016,Shire of Moorabool,25150,110.0,3.0,0.06330741801601683,8011356.32
2016,SHIRE OF CENTRAL GOLDFIELDS,21670,99.0,2.0,0.1205758848230354,7104793.64
2016,SHIRE OF MOUNT ALEXANDER,25430,29.999999999999996,1.0,0.06920332936979785,3116230.92
2016,SHIRE OF MANSFIELD,24250,40.0,1.0,0.032321041214750545,1437997.0100000002
2016,SHIRE OF MURRINDINDI,25620,24.999999999999996,1.0,0.042191267077417625,1381431.56
2016,Shire of Mitchell,24850,228.0,5.0,0.05929442427627292,16394612.05
2016,SHIRE OF TOWONG,26670,10.0,1.0,0.04996837444655281,284733.4799999999
2016,Shire of Alpine,20110,58.0,2.0,0.037414448669201524,2232436.02
2016,SHIRE OF MOIRA,24900,99.0,2.0,0.04438913088570836,4244200.19
2016,SHIRE OF STRATHBOGIE,26430,32.0,1.0,0.04491590214067278,1294670.47
2016,Rural City of Benalla,21010,105.0,3.0,0.05703157601891779,5265158.930000001
2016,SHIRE OF GANNAWARRA,22250,45.0,1.0,0.045454545454545456,1712866.2000000002
2016,Shire of Campaspe,21370,209.0,4.0,0.04245913436825331,8364721.08
2016,Shire of Glenelg,22410,119.99999999999999,4.0,0.048813298741231866,6486057.84
2016,SHIRE OF SOUTHERN GRAMPIANS,26260,75.0,2.0,0.03929068150208623,5955041.44
2016,Shire of Wellington,26810,318.0,6.999999999999999,0.06916215821026465,21744942.040000003
2016,Rural City of Wodonga,27170,135.0,3.0,0.05906810683779997,7664502.640000001
2016,City of Warrnambool,26730,234.0,8.0,0.03778613985575416,18542341.259999998
2016,City of Greater Bendigo,22620,628.0,11.0,0.07179353298772984,48696383.97
2016,City of Ballarat,20570,663.0,15.0,0.06509604650267545,54611247.31999999
2016,Rural City of Swan Hill,26610,161.0,4.0,0.050525210084033614,7527429.31
2016,City of Greater Shepparton,22830,329.0,8.0,0.049125582212848226,31422084.520000003
2016,Rural City of Mildura,24780,285.0,8.0,0.07558430717863106,25711760.39
2016,Shire of East Gippsland,22110,331.99999999999994,10.0,0.09000049972515117,23639559.169999998
2016,Shire of Bass Coast,20740,216.00000000000003,5.0,0.08312729702639492,16321155.47
2016,City of Latrobe,23810,522.0,13.0,0.10661805325378411,43563001.39
2016,Shire of Surf Coast,26490,74.0,3.0,0.027474720596061736,2854155.940000001
2016,Shire of South Gippsland,26170,105.00000000000001,4.0,0.05101822079314041,6565792.42
2016,Shire of Macedon Ranges,24130,102.0,3.0,0.031539038413465545,9179543.809999999
2016,Rural City of Horsham,23190,148.0,3.0,0.04305324459234609,9269919.86
2016,Shire of Baw Baw,20830,198.0,4.0,0.05363100877373646,14661092.830000002
2016,Rural City of Wangaratta,26700,136.0,4.0,0.05135399673735726,8236834.089999999
2016,City of Melbourne,24600,746.0,11.0,0.03853841746769368,79770052.63000001
2016,City of Moreland,25250,640.0,12.0,0.06458568759945574,63531110.68000001
2016,City of Darebin,21890,774.0,13.0,0.0626517974084765,84324281.52000001
2016,City of Boroondara,21110,162.0,4.0,0.038820031739016894,19997261.390000004
2016,City of Whitehorse,26980,427.0,6.0,0.05878655588951236,53182056.73
2016,City of Manningham,24210,519.0,7.0,0.05772149497249099,56271032.239999995
2016,City of Banyule,20660,634.0,10.0,0.03696483688508854,55979946.78000001
2016,City of Maroondah,24410,746.0,10.0,0.053029808883960604,65184083.08
2016,City of Knox,23670,766.0,11.0,0.046476159897254773,73822339.93
2016,City of Monash,24970,952.0,15.000000000000002,0.03821500270052686,111391123.95
2016,City of Port Phillip,25900,383.0,10.0,0.04224260431468802,28095943.28
2016,City of Kingston,23430,898.0,16.0,0.0579098033694683,83473105.91000001
2016,City of Greater Dandenong,22670,958.0,15.0,0.12383969455088743,118836649.17999999
2016,City of Frankston,22170,509.0,9.0,0.06045767411065286,62900685.339999996
2016,City of Casey,21610,899.0,13.0,0.07970597351990436,124817967.32999998
2016,Shire of Cardinia,21450,286.0,5.0,0.07001910892084884,25041008.449999996
2016,Shire of Yarra Ranges,27450,442.0,9.0,0.04951534830945282,28793677.63
2016,City of Hume,23270,812.9999999999999,13.999999999999998,0.09079205690193427,106043755.03
2016,City of Brimbank,21180,939.0,15.0,0.1001664950388328,143045743.48
2016,Shire of Melton,24650,503.0,7.0,0.07659862106259294,60035038.01
2016,City of Hobsons Bay,23110,577.0,10.0,0.0585375191424196,46829609.25
2016,City of Wyndham,27260,891.0000000000001,13.0,0.06716735511328076,97384531.85
2016,Shire of Mornington Peninsula,25340,813.0,17.0,0.04313201496525922,82381143.15000002
2016,City of Yarra,27350,308.0,8.0,0.05875975330145922,32992353.389999997
2016,City of Maribyrnong,24330,440.0,9.0,0.0719372793105512,53735025.13999999
2016,City of Stonnington,26350,287.0,7.0,0.03031045626502887,23443276.63
2016,City of Glen Eira,22310,771.0,11.0,0.041019092788520006,76214352.31
2016,City of Bayside,20910,208.0,5.0,0.03233450257481901,13615020.660000004
2016,City of Moonee Valley,25060,732.0,11.0,0.04914136405849113,75401077.51
2016,Shire of Buloke,21270,0.0,0.0,0.05110336817653891,0.0
2016,Shire of Golden Plains,22490,0.0,0.0,0.03657068789926859,0.0
2016,Shire of Hindmarsh,22980,0.0,0.0,0.054144106622240736,0.0
2016,Shire of Indigo,23350,0.0,0.0,0.037194712077078196,0.0
2016,Shire of Loddon,23940,0.0,0.0,0.07930065563534186,0.0
2016,Shire of Moyne,25490,0.0,0.0,0.023255813953488372,0.0
2016,Shire of Pyrenees,25990,0.0,0.0,0.07406199021207178,0.0
2016,Shire of West Wimmera,26890,0.0,0.0,0.03590568060021436,0.0
2016,Shire of Yarriambiack,27630,0.0,0.0,0.059748427672955975,0.0
