LGA_code,LGA_name,Year,Median_income
20110,Alpine,2012,32690
20260,Ararat,2012,35889
20570,Ballarat,2012,40244
20660,Banyule,2012,46039
20740,Bass Coast,2012,33513
20830,Baw Baw,2012,38067
20910,Bayside,2012,52228
21010,Benalla,2012,36210
21110,Boroondara,2012,51548
21180,Brimbank,2012,39888
21270,Buloke,2012,33875
21370,Campaspe,2012,35836
21450,Cardinia,2012,42257
21610,Casey,2012,42665
21670,Central Goldfields,2012,32370
21750,Colac-Otway,2012,35851
21830,Corangamite,2012,35615
21890,Darebin,2012,43311
22110,East Gippsland,2012,33066
22170,Frankston,2012,41874
22250,Gannawarra,2012,33116
22310,Glen Eira,2012,46881
22410,Glenelg,2012,38840
22490,Golden Plains,2012,40338
22620,Greater Bendigo,2012,39450
22670,Greater Dandenong,2012,36584
22750,Greater Geelong,2012,40904
22830,Greater Shepparton,2012,37328
22910,Hepburn,2012,34239
22980,Hindmarsh,2012,36620
23110,Hobsons Bay,2012,46824
23190,Horsham,2012,38594
23270,Hume,2012,41564
23350,Indigo,2012,39051
23430,Kingston,2012,43945
23670,Knox,2012,43092
23810,Latrobe,2012,41461
23940,Loddon,2012,30081
24130,Macedon Ranges,2012,43510
24210,Manningham,2012,41465
24250,Mansfield,2012,31308
24330,Maribyrnong,2012,44891
24410,Maroondah,2012,43485
24600,Melbourne,2012,45937
24650,Melton,2012,45000
24780,Mildura,2012,36695
24850,Mitchell,2012,42406
24900,Moira,2012,34222
24970,Monash,2012,40404
25060,Moonee Valley,2012,48304
25150,Moorabool,2012,43641
25250,Moreland,2012,43557
25340,Mornington Peninsula,2012,38347
25430,Mount Alexander,2012,35020
25490,Moyne,2012,36826
25620,Murrindindi,2012,34647
25710,Nillumbik,2012,46925
25810,Northern Grampians,2012,36617
25900,Port Phillip,2012,55255
25990,Pyrenees,2012,30453
26080,Queenscliffe,2012,34768
26170,South Gippsland,2012,34952
26260,Southern Grampians,2012,37447
26350,Stonnington,2012,55009
26430,Strathbogie,2012,33889
26490,Surf Coast,2012,39374
26610,Swan Hill,2012,36386
26670,Towong,2012,36272
26700,Wangaratta,2012,36462
26730,Warrnambool,2012,39554
26810,Wellington,2012,38222
26890,West Wimmera,2012,35345
26980,Whitehorse,2012,41926
27070,Whittlesea,2012,42263
27170,Wodonga,2012,41912
27260,Wyndham,2012,45856
27350,Yarra,2012,52812
27450,Yarra Ranges,2012,41213
27630,Yarriambiack,2012,36937
20110,Alpine,2013,33533
20260,Ararat,2013,37391
20570,Ballarat,2013,41752
20660,Banyule,2013,47550
20740,Bass Coast,2013,32944
20830,Baw Baw,2013,38514
20910,Bayside,2013,53880
21010,Benalla,2013,36536
21110,Boroondara,2013,53693
21180,Brimbank,2013,41045
21270,Buloke,2013,35261
21370,Campaspe,2013,36792
21450,Cardinia,2013,43599
21610,Casey,2013,44037
21670,Central Goldfields,2013,33898
21750,Colac-Otway,2013,35636
21830,Corangamite,2013,32413
21890,Darebin,2013,44838
22110,East Gippsland,2013,34232
22170,Frankston,2013,43217
22250,Gannawarra,2013,34224
22310,Glen Eira,2013,49300
22410,Glenelg,2013,37408
22490,Golden Plains,2013,41594
22620,Greater Bendigo,2013,40894
22670,Greater Dandenong,2013,37724
22750,Greater Geelong,2013,42365
22830,Greater Shepparton,2013,38217
22910,Hepburn,2013,35332
22980,Hindmarsh,2013,36161
23110,Hobsons Bay,2013,48966
23190,Horsham,2013,40065
23270,Hume,2013,42871
23350,Indigo,2013,40159
23430,Kingston,2013,45681
23670,Knox,2013,44268
23810,Latrobe,2013,42920
23940,Loddon,2013,33427
24130,Macedon Ranges,2013,44166
24210,Manningham,2013,42971
24250,Mansfield,2013,31787
24330,Maribyrnong,2013,46544
24410,Maroondah,2013,44991
24600,Melbourne,2013,47005
24650,Melton,2013,46306
24780,Mildura,2013,38097
24850,Mitchell,2013,43912
24900,Moira,2013,35558
24970,Monash,2013,42029
25060,Moonee Valley,2013,49892
25150,Moorabool,2013,44775
25250,Moreland,2013,45223
25340,Mornington Peninsula,2013,39518
25430,Mount Alexander,2013,35878
25490,Moyne,2013,34911
25620,Murrindindi,2013,35315
25710,Nillumbik,2013,48285
25810,Northern Grampians,2013,36896
25900,Port Phillip,2013,57033
25990,Pyrenees,2013,31370
26080,Queenscliffe,2013,35200
26170,South Gippsland,2013,33587
26260,Southern Grampians,2013,35183
26350,Stonnington,2013,57250
26430,Strathbogie,2013,35131
26490,Surf Coast,2013,39874
26610,Swan Hill,2013,37859
26670,Towong,2013,34232
26700,Wangaratta,2013,37286
26730,Warrnambool,2013,40791
26810,Wellington,2013,38143
26890,West Wimmera,2013,35205
26980,Whitehorse,2013,43563
27070,Whittlesea,2013,43779
27170,Wodonga,2013,43881
27260,Wyndham,2013,47073
27350,Yarra,2013,54499
27450,Yarra Ranges,2013,42399
27630,Yarriambiack,2013,40182
20110,Alpine,2014,34681
20260,Ararat,2014,38131
20570,Ballarat,2014,42779
20660,Banyule,2014,48836
20740,Bass Coast,2014,34051
20830,Baw Baw,2014,40483
20910,Bayside,2014,55569
21010,Benalla,2014,37229
21110,Boroondara,2014,55069
21180,Brimbank,2014,41599
21270,Buloke,2014,34643
21370,Campaspe,2014,38676
21450,Cardinia,2014,44716
21610,Casey,2014,44833
21670,Central Goldfields,2014,35181
21750,Colac-Otway,2014,37530
21830,Corangamite,2014,38371
21890,Darebin,2014,45812
22110,East Gippsland,2014,35309
22170,Frankston,2014,44371
22250,Gannawarra,2014,36351
22310,Glen Eira,2014,50588
22410,Glenelg,2014,39694
22490,Golden Plains,2014,42933
22620,Greater Bendigo,2014,41878
22670,Greater Dandenong,2014,38429
22750,Greater Geelong,2014,43176
22830,Greater Shepparton,2014,39787
22910,Hepburn,2014,35858
22980,Hindmarsh,2014,41245
23110,Hobsons Bay,2014,50034
23190,Horsham,2014,41807
23270,Hume,2014,43381
23350,Indigo,2014,41225
23430,Kingston,2014,46765
23670,Knox,2014,45213
23810,Latrobe,2014,43967
23940,Loddon,2014,33680
24130,Macedon Ranges,2014,45522
24210,Manningham,2014,43403
24250,Mansfield,2014,32333
24330,Maribyrnong,2014,47362
24410,Maroondah,2014,45859
24600,Melbourne,2014,47829
24650,Melton,2014,47021
24780,Mildura,2014,39241
24850,Mitchell,2014,44612
24900,Moira,2014,37281
24970,Monash,2014,43047
25060,Moonee Valley,2014,50811
25150,Moorabool,2014,45869
25250,Moreland,2014,45834
25340,Mornington Peninsula,2014,40529
25430,Mount Alexander,2014,36936
25490,Moyne,2014,38614
25620,Murrindindi,2014,35895
25710,Nillumbik,2014,49437
25810,Northern Grampians,2014,37948
25900,Port Phillip,2014,57470
25990,Pyrenees,2014,32497
26080,Queenscliffe,2014,36757
26170,South Gippsland,2014,36052
26260,Southern Grampians,2014,36661
26350,Stonnington,2014,58433
26430,Strathbogie,2014,36045
26490,Surf Coast,2014,41345
26610,Swan Hill,2014,38874
26670,Towong,2014,37417
26700,Wangaratta,2014,39255
26730,Warrnambool,2014,41638
26810,Wellington,2014,40681
26890,West Wimmera,2014,36351
26980,Whitehorse,2014,44484
27070,Whittlesea,2014,44609
27170,Wodonga,2014,45288
27260,Wyndham,2014,47607
27350,Yarra,2014,55750
27450,Yarra Ranges,2014,43546
27630,Yarriambiack,2014,41283
20110,Alpine,2015,36195
20260,Ararat,2015,39387
20570,Ballarat,2015,43852
20660,Banyule,2015,50400
20740,Bass Coast,2015,35605
20830,Baw Baw,2015,41353
20910,Bayside,2015,57355
21010,Benalla,2015,37449
21110,Boroondara,2015,56451
21180,Brimbank,2015,42123
21270,Buloke,2015,29397
21370,Campaspe,2015,40081
21450,Cardinia,2015,46041
21610,Casey,2015,45726
21670,Central Goldfields,2015,35590
21750,Colac-Otway,2015,38634
21830,Corangamite,2015,39657
21890,Darebin,2015,47153
22110,East Gippsland,2015,36706
22170,Frankston,2015,45704
22250,Gannawarra,2015,36970
22310,Glen Eira,2015,51971
22410,Glenelg,2015,41437
22490,Golden Plains,2015,44314
22620,Greater Bendigo,2015,43191
22670,Greater Dandenong,2015,39273
22750,Greater Geelong,2015,44227
22830,Greater Shepparton,2015,41062
22910,Hepburn,2015,37067
22980,Hindmarsh,2015,39860
23110,Hobsons Bay,2015,51621
23190,Horsham,2015,41185
23270,Hume,2015,44084
23350,Indigo,2015,43281
23430,Kingston,2015,48063
23670,Knox,2015,46226
23810,Latrobe,2015,45400
23940,Loddon,2015,34351
24130,Macedon Ranges,2015,47135
24210,Manningham,2015,44288
24250,Mansfield,2015,33443
24330,Maribyrnong,2015,48594
24410,Maroondah,2015,47198
24600,Melbourne,2015,47334
24650,Melton,2015,48080
24780,Mildura,2015,40523
24850,Mitchell,2015,46233
24900,Moira,2015,38317
24970,Monash,2015,44205
25060,Moonee Valley,2015,52289
25150,Moorabool,2015,47385
25250,Moreland,2015,47327
25340,Mornington Peninsula,2015,42104
25430,Mount Alexander,2015,37342
25490,Moyne,2015,40288
25620,Murrindindi,2015,37269
25710,Nillumbik,2015,50750
25810,Northern Grampians,2015,37539
25900,Port Phillip,2015,58898
25990,Pyrenees,2015,35325
26080,Queenscliffe,2015,39762
26170,South Gippsland,2015,37184
26260,Southern Grampians,2015,38689
26350,Stonnington,2015,60459
26430,Strathbogie,2015,37240
26490,Surf Coast,2015,42988
26610,Swan Hill,2015,40180
26670,Towong,2015,39516
26700,Wangaratta,2015,40796
26730,Warrnambool,2015,42180
26810,Wellington,2015,41916
26890,West Wimmera,2015,36820
26980,Whitehorse,2015,45028
27070,Whittlesea,2015,45287
27170,Wodonga,2015,46643
27260,Wyndham,2015,48103
27350,Yarra,2015,57519
27450,Yarra Ranges,2015,44946
27630,Yarriambiack,2015,34838
20110,Alpine,2016,36669
20260,Ararat,2016,39668
20570,Ballarat,2016,44953
20660,Banyule,2016,51515
20740,Bass Coast,2016,35998
20830,Baw Baw,2016,41961
20910,Bayside,2016,58909
21010,Benalla,2016,38821
21110,Boroondara,2016,57306
21180,Brimbank,2016,42978
21270,Buloke,2016,28980
21370,Campaspe,2016,39782
21450,Cardinia,2016,47316
21610,Casey,2016,46719
21670,Central Goldfields,2016,35144
21750,Colac-Otway,2016,39721
21830,Corangamite,2016,37852
21890,Darebin,2016,48679
22110,East Gippsland,2016,37018
22170,Frankston,2016,47260
22250,Gannawarra,2016,35804
22310,Glen Eira,2016,53099
22410,Glenelg,2016,42409
22490,Golden Plains,2016,45217
22620,Greater Bendigo,2016,44261
22670,Greater Dandenong,2016,39845
22750,Greater Geelong,2016,45141
22830,Greater Shepparton,2016,41806
22910,Hepburn,2016,37838
22980,Hindmarsh,2016,36147
23110,Hobsons Bay,2016,53505
23190,Horsham,2016,41072
23270,Hume,2016,45331
23350,Indigo,2016,44465
23430,Kingston,2016,49506
23670,Knox,2016,47258
23810,Latrobe,2016,46527
23940,Loddon,2016,30965
24130,Macedon Ranges,2016,48734
24210,Manningham,2016,45208
24250,Mansfield,2016,34811
24330,Maribyrnong,2016,49523
24410,Maroondah,2016,48386
24600,Melbourne,2016,47273
24650,Melton,2016,49402
24780,Mildura,2016,41184
24850,Mitchell,2016,47325
24900,Moira,2016,38265
24970,Monash,2016,44817
25060,Moonee Valley,2016,53959
25150,Moorabool,2016,48582
25250,Moreland,2016,49012
25340,Mornington Peninsula,2016,43223
25430,Mount Alexander,2016,38383
25490,Moyne,2016,41085
25620,Murrindindi,2016,37674
25710,Nillumbik,2016,52439
25810,Northern Grampians,2016,37933
25900,Port Phillip,2016,60274
25990,Pyrenees,2016,35452
26080,Queenscliffe,2016,40086
26170,South Gippsland,2016,36585
26260,Southern Grampians,2016,39234
26350,Stonnington,2016,60483
26430,Strathbogie,2016,37823
26490,Surf Coast,2016,44866
26610,Swan Hill,2016,40592
26670,Towong,2016,39569
26700,Wangaratta,2016,41643
26730,Warrnambool,2016,43111
26810,Wellington,2016,41724
26890,West Wimmera,2016,35140
26980,Whitehorse,2016,45726
27070,Whittlesea,2016,46482
27170,Wodonga,2016,47461
27260,Wyndham,2016,48741
27350,Yarra,2016,59284
27450,Yarra Ranges,2016,46383
27630,Yarriambiack,2016,33658
