Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+
2012,Alpine (S),20110,2747,6689,2702,12138,0.2877222872963476
2012,Ararat (RC),20260,2627,6390,2338,11355,0.2678735105407883
2012,Ballarat (C),20570,25751,56440,14781,96972,0.20753710282079724
2012,Banyule (C),20660,29004,74748,19792,123544,0.2093505394541993
2012,Bass Coast (S),20740,6733,16592,7267,30592,0.30458108051469046
2012,Baw Baw (S),20830,11837,24970,7559,44366,0.2323772633649974
2012,Bayside (C),20910,24677,54769,17378,96824,0.2408693362163361
2012,Benalla (RC),21010,3316,7397,3016,13729,0.28963795255930086
2012,Boroondara (C),21110,40398,102653,25242,168293,0.19736502599788888
2012,Brimbank (C),21180,49114,121699,22852,193665,0.15808953241416523
2012,Buloke (S),21270,1522,3325,1517,6364,0.31330028913672037
2012,Campaspe (S),21370,9761,19898,7295,36954,0.268267568859633
2012,Cardinia (S),21450,24219,47223,8642,80084,0.15469435245681554
2012,Casey (C),21610,80784,162545,24563,267892,0.13127712337259764
2012,Central Goldfields (S),21670,2868,6528,3186,12582,0.32798023471278565
2012,Colac-Otway (S),21750,5175,11575,3985,20735,0.25610539845758357
2012,Corangamite (S),21830,4549,8609,3229,16387,0.27276566987666834
2012,Darebin (C),21890,29676,93562,20848,144086,0.18222183375579057
2012,East Gippsland (S),22110,9940,22863,10351,43154,0.3116456915758415
2012,Frankston (C),22170,33411,79785,18346,131542,0.18695417350276672
2012,Gannawarra (S),22250,2499,5316,2579,10394,0.3266624445851805
2012,Glen Eira (C),22310,32130,86100,20580,138810,0.19291338582677164
2012,Glenelg (S),22410,4989,11210,3578,19777,0.24195293481200975
2012,Golden Plains (S),22490,5845,11395,2186,19426,0.16096016493630808
2012,Greater Bendigo (C),22620,27397,59742,16583,103722,0.2172682607271536
2012,Greater Dandenong (C),22670,34863,89386,20431,144680,0.1860458763215167
2012,Greater Geelong (C),22750,54100,126897,37364,218361,0.2274672624664406
2012,Greater Shepparton (C),22830,17582,35392,9378,62352,0.20947062765244584
2012,Hepburn (S),22910,3308,8496,2947,14751,0.25753735908415626
2012,Hindmarsh (S),22980,1364,2995,1435,5794,0.3239277652370203
2012,Hobsons Bay (C),23110,20691,55291,12183,88165,0.18055843732400628
2012,Horsham (RC),23190,5134,10982,3542,19658,0.24387221151198016
2012,Hume (C),23270,53203,107967,16857,178027,0.13504614497212075
2012,Indigo (S),23350,3941,8705,2731,15377,0.23880727527107382
2012,Kingston (C),23430,34492,91125,24359,149976,0.21092965259256694
2012,Knox (C),23670,38773,95410,20470,154653,0.17664825681739732
2012,Latrobe (C),23810,19276,42867,11786,73929,0.21565147384407077
2012,Loddon (S),23940,1677,4016,1833,7526,0.3133869037442298
2012,Macedon Ranges (S),24130,12186,25134,6173,43493,0.19717635033698533
2012,Manningham (C),24210,26042,67835,23142,117019,0.2543719841278565
2012,Mansfield (S),24250,2144,4348,1575,8067,0.2659125443187574
2012,Maribyrnong (C),24330,15994,52969,7626,76589,0.1258519679841571
2012,Maroondah (C),24410,26785,65133,16186,108104,0.1990432740196018
2012,Melbourne (C),24600,13511,84782,7088,105381,0.07715249809513443
2012,Melton (S),24650,36468,73453,8030,117951,0.09854816342059079
2012,Mildura (RC),24780,14514,29112,8578,52204,0.22759352613425313
2012,Mitchell (S),24850,10631,21263,4350,36244,0.16983563034396595
2012,Moira (S),24900,7256,15079,6340,28675,0.29599887949950976
2012,Monash (C),24970,38737,109877,31126,179740,0.22074707630334106
2012,Moonee Valley (C),25060,25128,70469,17657,113254,0.2003608469691124
2012,Moorabool (S),25150,8285,17206,3855,29346,0.18303974170267318
2012,Moreland (C),25250,32237,101323,22603,156163,0.18239110436873618
2012,Mornington Peninsula (S),25340,36534,81019,33224,150777,0.29081869348669065
2012,Mount Alexander (S),25430,3885,10162,3821,17868,0.2732603876135307
2012,Moyne (S),25490,4476,9111,2634,16221,0.22426564495530013
2012,Murrindindi (S),25620,3030,7787,2617,13434,0.2515378700499808
2012,Nillumbik (S),25710,17699,38538,6414,62651,0.14268553123331554
2012,Northern Grampians (S),25810,2757,6696,2516,11969,0.27312201476335213
2012,Port Phillip (C),25900,13449,76343,10099,99891,0.11682978181902316
2012,Pyrenees (S),25990,1492,3674,1590,6756,0.3020516717325228
2012,Queenscliffe (B),26080,599,1499,1001,3099,0.4004
2012,South Gippsland (S),26170,6861,15262,5696,27819,0.27178165855520564
2012,Southern Grampians (S),26260,4228,8816,3355,16399,0.2756552460767398
2012,Stonnington (C),26350,17130,68880,14672,100682,0.17560321715817695
2012,Strathbogie (S),26430,2021,5146,2493,9660,0.32635161670375706
2012,Surf Coast (S),26490,7453,15962,3939,27354,0.1979297522737551
2012,Swan Hill (RC),26610,5726,11754,3492,20972,0.22904368358913813
2012,Towong (S),26670,1441,3187,1312,5940,0.2916203600800178
2012,Wangaratta (RC),26700,6898,15007,5331,27236,0.2621201691415085
2012,Warrnambool (C),26730,8777,18804,5387,32968,0.22268612293828283
2012,Wellington (S),26810,10796,24178,7315,42289,0.23227383863080683
2012,West Wimmera (S),26890,990,2275,952,4217,0.2950108459869848
2012,Whitehorse (C),26980,36362,95048,27582,158992,0.22492049253853053
2012,Whittlesea (C),27070,45851,105467,18153,169471,0.1468451706843553
2012,Wodonga (RC),27170,10597,21451,4578,36626,0.17588074839601983
2012,Wyndham (C),27260,53444,113740,12254,179438,0.09725859961585473
2012,Yarra (C),27350,11808,60785,8014,80607,0.11648425122458175
2012,Yarra Ranges (S),27450,39776,89814,19441,149031,0.17794151297423458
2012,Yarriambiack (S),27630,1659,3638,1818,7115,0.33321114369501464
2013,Alpine (S),20110,2709,6538,2797,12044,0.29962506695232993
2013,Ararat (RC),20260,2565,6269,2373,11207,0.2745892154593844
2013,Ballarat (C),20570,26036,57255,15393,98684,0.21188470432771722
2013,Banyule (C),20660,29302,74855,20318,124475,0.213484916940729
2013,Bass Coast (S),20740,6784,16786,7440,31010,0.3071080657145216
2013,Baw Baw (S),20830,11881,25300,8024,45205,0.24078742047773377
2013,Bayside (C),20910,25059,55494,17815,98368,0.2430124541325076
2013,Benalla (RC),21010,3265,7372,3082,13719,0.29481538167208726
2013,Boroondara (C),21110,40720,103947,25886,170553,0.19937920251399877
2013,Brimbank (C),21180,49283,122097,24089,195469,0.1647832213755079
2013,Buloke (S),21270,1477,3246,1498,6221,0.3157672849915683
2013,Campaspe (S),21370,9676,19698,7545,36919,0.2769518775465257
2013,Cardinia (S),21450,25290,49488,9287,84065,0.1580093577201191
2013,Casey (C),21610,82308,166646,26162,275116,0.13568939048172274
2013,Central Goldfields (S),21670,2867,6465,3270,12602,0.3359013867488444
2013,Colac-Otway (S),21750,5047,11538,4109,20694,0.2626062503994376
2013,Corangamite (S),21830,4411,8399,3327,16137,0.28372846665529594
2013,Darebin (C),21890,30207,95488,21102,146797,0.18099322411870658
2013,East Gippsland (S),22110,9938,22700,10775,43413,0.321882001493652
2013,Frankston (C),22170,33667,80995,18898,133560,0.1891824251949586
2013,Gannawarra (S),22250,2420,5291,2615,10326,0.3307614470022768
2013,Glen Eira (C),22310,33136,87383,21000,141519,0.19375732356550382
2013,Glenelg (S),22410,4843,11003,3675,19521,0.2503747104510151
2013,Golden Plains (S),22490,6038,11736,2377,20151,0.16842627364840926
2013,Greater Bendigo (C),22620,27646,60520,17166,105332,0.22096645470226295
2013,Greater Dandenong (C),22670,35536,90213,20978,146727,0.1886663488951444
2013,Greater Geelong (C),22750,54753,128295,38467,221515,0.23067005672755184
2013,Greater Shepparton (C),22830,17586,35505,9693,62784,0.21445639187574672
2013,Hepburn (S),22910,3305,8491,3047,14843,0.2640838966892009
2013,Hindmarsh (S),22980,1317,2945,1433,5695,0.3273184102329831
2013,Hobsons Bay (C),23110,20899,55758,12454,89111,0.18257784554037412
2013,Horsham (RC),23190,5108,10944,3635,19687,0.24933122985115577
2013,Hume (C),23270,54431,110849,17983,183263,0.13958488574267264
2013,Indigo (S),23350,3911,8598,2863,15372,0.24980368205217696
2013,Kingston (C),23430,34844,91780,25062,151686,0.2144947878331422
2013,Knox (C),23670,38363,95186,21360,154909,0.18327527328265233
2013,Latrobe (C),23810,19031,42653,12162,73846,0.22187357475143665
2013,Loddon (S),23940,1627,3935,1881,7443,0.3234181568088033
2013,Macedon Ranges (S),24130,12224,25306,6568,44098,0.20606136663111
2013,Manningham (C),24210,26023,67734,23780,117537,0.2598509517669428
2013,Mansfield (S),24250,2222,4292,1671,8185,0.28022807311755826
2013,Maribyrnong (C),24330,16568,55006,7728,79302,0.12318678866324481
2013,Maroondah (C),24410,27096,65826,16653,109575,0.20190593969374024
2013,Melbourne (C),24600,14715,94185,7547,116447,0.07418511382849054
2013,Melton (C),24650,37911,76189,8809,122909,0.103637732652533
2013,Mildura (RC),24780,14554,29278,8853,52685,0.23217329731714353
2013,Mitchell (S),24850,10851,21889,4626,37366,0.17446728267018669
2013,Moira (S),24900,7213,14902,6560,28675,0.30565650917901405
2013,Monash (C),24970,39542,111335,31608,182485,0.22112310501388666
2013,Moonee Valley (C),25060,25601,71406,18090,115097,0.20213193885760258
2013,Moorabool (S),25150,8515,17735,4070,30320,0.18665443705572116
2013,Moreland (C),25250,33131,104148,22750,160029,0.1792778451985059
2013,Mornington Peninsula (S),25340,36697,81122,34441,152260,0.2980279155092893
2013,Mount Alexander (S),25430,3846,10198,3950,17994,0.27919140514560364
2013,Moyne (S),25490,4458,9063,2756,16277,0.23318385650224216
2013,Murrindindi (S),25620,3001,7726,2767,13494,0.2636996092633184
2013,Nillumbik (S),25710,17457,38385,6882,62724,0.15203128106567698
2013,Northern Grampians (S),25810,2664,6559,2576,11799,0.281992337164751
2013,Port Phillip (C),25900,14041,77875,10585,102501,0.11965860275830884
2013,Pyrenees (S),25990,1451,3650,1669,6770,0.31378078586200414
2013,Queenscliffe (B),26080,600,1440,1018,3058,0.4141578519121237
2013,South Gippsland (S),26170,6918,15090,5922,27930,0.2818389491719018
2013,Southern Grampians (S),26260,4141,8620,3384,16145,0.2819060313228924
2013,Stonnington (C),26350,17451,70588,15148,103187,0.17668190725016328
2013,Strathbogie (S),26430,1995,5131,2580,9706,0.3345869537025029
2013,Surf Coast (S),26490,7742,16316,4224,28282,0.2056475170399221
2013,Swan Hill (RC),26610,5648,11627,3592,20867,0.2360207635192851
2013,Towong (S),26670,1422,3125,1342,5889,0.3004253413924334
2013,Wangaratta (RC),26700,6827,14953,5417,27197,0.26593028964162985
2013,Warrnambool (C),26730,8797,18939,5564,33300,0.22707423580786026
2013,Wellington (S),26810,10707,24069,7543,42319,0.2386119195242313
2013,West Wimmera (S),26890,958,2173,958,4089,0.3059725327371447
2013,Whitehorse (C),26980,36894,96766,28064,161724,0.22481775214291436
2013,Whittlesea (C),27070,48840,110984,19437,179261,0.14903274779368353
2013,Wodonga (RC),27170,10784,21742,4819,37345,0.1814314220097135
2013,Wyndham (C),27260,56835,119602,13181,189618,0.09926722547314039
2013,Yarra (C),27350,12136,62967,8490,83593,0.11881271254040891
2013,Yarra Ranges (S),27450,39473,89633,20432,149538,0.18563576068686685
2013,Yarriambiack (S),27630,1621,3567,1830,7018,0.3390772651473041
2014,Alpine (S),20110,2674,6455,2899,12028,0.30992088945905494
2014,Ararat (RC),20260,2545,6218,2421,11184,0.2802407686074777
2014,Ballarat (C),20570,26367,58013,15903,100283,0.2151496293089453
2014,Banyule (C),20660,29552,75171,20780,125503,0.21656887369594896
2014,Bass Coast (S),20740,6915,17073,7635,31623,0.30900922778047596
2014,Baw Baw (S),20830,11952,25499,8494,45945,0.24987497425940636
2014,Bayside (C),20910,25438,56331,18178,99947,0.24397052705042344
2014,Benalla (RC),21010,3180,7286,3131,13597,0.30056638187578
2014,Boroondara (C),21110,40983,105234,26395,172612,0.20052572001610589
2014,Brimbank (C),21180,49619,122896,25186,197701,0.17008144136356884
2014,Buloke (S),21270,1438,3164,1484,6086,0.3192771084337349
2014,Campaspe (S),21370,9560,19581,7740,36881,0.2832985615460635
2014,Cardinia (S),21450,26084,51097,9827,87008,0.16129932374762
2014,Casey (C),21610,84164,171440,27811,283415,0.1395777185559922
2014,Central Goldfields (S),21670,2846,6424,3336,12606,0.3418032786885246
2014,Colac-Otway (S),21750,4882,11398,4221,20501,0.27024777514565596
2014,Corangamite (S),21830,4290,8324,3382,15996,0.288911669229455
2014,Darebin (C),21890,30495,96991,21242,148728,0.17966219245050027
2014,East Gippsland (S),22110,9952,22664,11156,43772,0.32986398580721465
2014,Frankston (C),22170,33892,81957,19394,135243,0.19135479669662855
2014,Gannawarra (S),22250,2335,5172,2638,10145,0.3377720870678617
2014,Glen Eira (C),22310,33970,88793,21296,144059,0.19344348663354194
2014,Glenelg (S),22410,4715,10863,3779,19357,0.2580931566725857
2014,Golden Plains (S),22490,6140,11916,2488,20544,0.17272979727853374
2014,Greater Bendigo (C),22620,28032,61156,17783,106971,0.22527521250585894
2014,Greater Dandenong (C),22670,36315,91583,21620,149518,0.1909843378709045
2014,Greater Geelong (C),22750,55432,129932,39562,224926,0.2334123921790742
2014,Greater Shepparton (C),22830,17605,35659,10005,63269,0.21910038542396637
2014,Hepburn (S),22910,3297,8412,3179,14888,0.27426451557242687
2014,Hindmarsh (S),22980,1295,2920,1429,5644,0.32858128305357553
2014,Hobsons Bay (C),23110,21367,56967,12814,91148,0.183631647583153
2014,Horsham (RC),23190,5083,10942,3666,19691,0.25095837897042717
2014,Hume (C),23270,55807,113954,19071,188832,0.1433640293177974
2014,Indigo (S),23350,3869,8589,2951,15409,0.2557192374350087
2014,Kingston (C),23430,35096,92389,25594,153079,0.21692955764813573
2014,Knox (C),23670,38128,95137,22243,155508,0.18949565513716135
2014,Latrobe (C),23810,18797,42391,12465,73653,0.22723129648534343
2014,Loddon (S),23940,1579,3877,1909,7365,0.3299343242309022
2014,Macedon Ranges (S),24130,12288,25538,6889,44715,0.21244641810836648
