Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+
2014,Manningham (C),24210,26207,68045,24269,118521,0.26289620209285697
2014,Mansfield (S),24250,2254,4217,1746,8217,0.2928056347476103
2014,Maribyrnong (C),24330,17046,57003,7810,81859,0.12050051687161527
2014,Maroondah (C),24410,27406,66787,17030,111223,0.20318073899089684
2014,Melbourne (C),24600,15337,98830,8040,122207,0.07523158978197811
2014,Melton (C),24650,39202,78914,9561,127677,0.10806442497880757
2014,Mildura (RC),24780,14581,29390,9065,53036,0.23573007411259914
2014,Mitchell (S),24850,11105,22507,4903,38515,0.17887632251003283
2014,Moira (S),24900,7203,14882,6748,28833,0.3119741100323625
2014,Monash (C),24970,40283,112810,31944,185037,0.22067783964519117
2014,Moonee Valley (C),25060,26103,72777,18457,117337,0.20230396562684963
2014,Moorabool (S),25150,8637,17988,4301,30926,0.19296513975503612
2014,Moreland (C),25250,33942,106804,22742,163488,0.17555154153736896
2014,Mornington Peninsula (S),25340,36854,81675,35271,153800,0.30160073880252425
2014,Mount Alexander (S),25430,3816,10188,4098,18102,0.2868542629147417
2014,Moyne (S),25490,4444,9089,2811,16344,0.236218487394958
2014,Murrindindi (S),25620,2998,7712,2885,13595,0.2722468623195244
2014,Nillumbik (S),25710,17285,38279,7308,62872,0.1603088599820124
2014,Northern Grampians (S),25810,2611,6449,2659,11719,0.2919411506368028
2014,Port Phillip (C),25900,14484,79306,11056,104846,0.12235231623912707
2014,Pyrenees (S),25990,1489,3729,1761,6979,0.32076502732240436
2014,Queenscliffe (B),26080,602,1383,1042,3027,0.4296907216494845
2014,South Gippsland (S),26170,6924,14924,6089,27937,0.2897729976681102
2014,Southern Grampians (S),26260,4055,8415,3449,15919,0.29071139581928523
2014,Stonnington (C),26350,17792,72642,15547,105981,0.1762918277789747
2014,Strathbogie (S),26430,1988,5139,2683,9810,0.3430069036052161
2014,Surf Coast (S),26490,7818,16213,4450,28481,0.21536078981754828
2014,Swan Hill (RC),26610,5542,11378,3660,20580,0.24338342864742651
2014,Towong (S),26670,1380,3041,1376,5797,0.3115236585918044
2014,Wangaratta (RC),26700,6738,14845,5534,27117,0.2715540507385053
2014,Warrnambool (C),26730,8793,18984,5724,33501,0.23166585721223895
2014,Wellington (S),26810,10590,23832,7798,42220,0.24653809674359786
2014,West Wimmera (S),26890,917,2110,955,3982,0.31158238172920066
2014,Whitehorse (C),26980,37230,98069,28398,163697,0.22454869649790063
2014,Whittlesea (C),27070,51169,115231,20606,187006,0.15169651862158323
2014,Wodonga (RC),27170,10993,22094,5044,38131,0.1858648389711843
2014,Wyndham (C),27260,59984,125569,14162,199715,0.10135188326140943
2014,Yarra (C),27350,12468,65130,8908,86506,0.12031659418136632
2014,Yarra Ranges (S),27450,39289,89514,21295,150098,0.19217753070598959
2014,Yarriambiack (S),27630,1555,3481,1856,6892,0.3477609143713697
2015,Alpine (S),20110,2610,6262,2986,11858,0.32288062283737023
2015,Ararat (RC),20260,2478,6060,2490,11028,0.2912280701754386
2015,Ballarat (C),20570,26550,58493,16535,101578,0.22038438982779762
2015,Banyule (C),20660,29671,75349,21212,126232,0.21967460983212683
2015,Bass Coast (S),20740,6979,17282,7772,32033,0.31020994651552647
2015,Baw Baw (S),20830,12005,25647,8986,46638,0.25946351745445095
2015,Bayside (C),20910,25786,56972,18563,101321,0.24575362414774607
2015,Benalla (RC),21010,3088,7226,3182,13496,0.30572636433512684
2015,Boroondara (C),21110,41256,106438,27093,174787,0.20289670563389775
2015,Brimbank (C),21180,49798,123266,26368,199432,0.176216635256693
2015,Buloke (S),21270,1410,3083,1459,5952,0.32122413033905767
2015,Campaspe (S),21370,9414,19377,7956,36747,0.29107672044781036
2015,Cardinia (S),21450,27091,53324,10469,90884,0.16410891477121314
2015,Casey (C),21610,86352,176363,29496,292211,0.14328253804788715
2015,Central Goldfields (S),21670,2835,6324,3416,12575,0.3507186858316222
2015,Colac-Otway (S),21750,4712,11203,4340,20255,0.27922537476677606
2015,Corangamite (S),21830,4162,8049,3460,15671,0.3006342862107916
2015,Darebin (C),21890,30893,98636,21352,150881,0.17795112844617794
2015,East Gippsland (S),22110,9948,22492,11555,43995,0.3393837929920404
2015,Frankston (C),22170,33807,82230,19934,135971,0.19511765396812966
2015,Gannawarra (S),22250,2258,5058,2703,10019,0.3482798608426749
2015,Glen Eira (C),22310,34662,89981,21660,146303,0.194014743687355
2015,Glenelg (S),22410,4559,10684,3915,19158,0.26816905267484076
2015,Golden Plains (S),22490,6209,11979,2621,20809,0.17952054794520547
2015,Greater Bendigo (C),22620,28279,61733,18425,108437,0.22985852940442625
2015,Greater Dandenong (C),22670,37191,93330,22218,152739,0.192283726243639
2015,Greater Geelong (C),22750,56478,132157,40785,229420,0.23583050965063432
2015,Greater Shepparton (C),22830,17552,35598,10216,63366,0.22298860610293797
2015,Hepburn (S),22910,3238,8264,3292,14794,0.2848736587054344
2015,Hindmarsh (S),22980,1234,2833,1427,5494,0.33497652582159626
2015,Hobsons Bay (C),23110,21661,57935,13165,92761,0.18516174402250352
2015,Horsham (RC),23190,5077,10951,3746,19774,0.25488194869701297
2015,Hume (C),23270,57067,116849,20090,194006,0.1467076581543607
2015,Indigo (S),23350,3818,8539,3074,15431,0.2647033496943081
2015,Kingston (C),23430,35283,92966,26228,154477,0.22004463311911673
2015,Knox (C),23670,37730,94836,23115,155681,0.19597120838314216
2015,Latrobe (C),23810,18572,42149,12827,73548,0.23331999417927823
2015,Loddon (S),23940,1531,3796,1956,7283,0.34005563282336576
2015,Macedon Ranges (S),24130,12353,25725,7230,45308,0.21939007737824306
2015,Manningham (C),24210,26383,68329,24730,119442,0.26574538733491654
2015,Mansfield (S),24250,2310,4173,1817,8300,0.303338898163606
2015,Maribyrnong (C),24330,17360,58231,7924,83515,0.1197793061748923
2015,Maroondah (C),24410,27561,67320,17429,112310,0.20565434400405905
2015,Melbourne (C),24600,16238,104262,8480,128980,0.07521597984779407
2015,Melton (C),24650,40678,81791,10283,132752,0.11168190803049721
2015,Mildura (RC),24780,14453,29254,9308,53015,0.24137752191276385
2015,Mitchell (S),24850,11192,22771,5180,39143,0.1853243175557225
2015,Moira (S),24900,7137,14746,6937,28820,0.31992805423603743
2015,Monash (C),24970,40874,114109,32303,187286,0.22063082261016856
2015,Moonee Valley (C),25060,26546,74225,18812,119583,0.20219912507926954
2015,Moorabool (S),25150,8760,18228,4508,31496,0.19827586206896552
2015,Moreland (C),25250,34652,109433,22685,166770,0.1717025689156663
2015,Mornington Peninsula (S),25340,36881,81875,36259,155015,0.3069311121269067
2015,Mount Alexander (S),25430,3767,10132,4231,18130,0.294576341989835
2015,Moyne (S),25490,4391,8955,2883,16229,0.24353775975671565
2015,Murrindindi (S),25620,2967,7716,3010,13693,0.28062651501025543
2015,Nillumbik (S),25710,16999,37828,7775,62602,0.17049316930903669
2015,Northern Grampians (S),25810,2503,6252,2754,11509,0.30579613590939375
2015,Port Phillip (C),25900,14897,80718,11512,107127,0.12481838881058224
2015,Pyrenees (S),25990,1442,3591,1789,6822,0.3325278810408922
2015,Queenscliffe (B),26080,585,1367,1065,3017,0.4379111842105263
2015,South Gippsland (S),26170,6863,14584,6259,27706,0.30029266420380946
2015,Southern Grampians (S),26260,3974,8281,3496,15751,0.2968497919673941
2015,Stonnington (C),26350,17989,74011,15941,107941,0.17721673781572395
2015,Strathbogie (S),26430,1971,5114,2741,9826,0.34894971355824317
2015,Surf Coast (S),26490,7966,16272,4703,28941,0.2242193087008343
2015,Swan Hill (RC),26610,5480,11148,3781,20409,0.25326545649407195
2015,Towong (S),26670,1371,2995,1396,5762,0.3179230243680255
2015,Wangaratta (RC),26700,6681,14710,5674,27065,0.27835557299843017
2015,Warrnambool (C),26730,8765,18986,5893,33644,0.23686643353832548
2015,Wellington (S),26810,10462,23415,8088,41965,0.2567374535758499
2015,West Wimmera (S),26890,880,2039,960,3879,0.320106702234078
2015,Whitehorse (C),26980,37594,99167,28796,165557,0.225033798832475
2015,Whittlesea (C),27070,53688,119936,21773,195397,0.15364585171019485
2015,Wodonga (RC),27170,11076,22214,5269,38559,0.1917185169013572
2015,Wyndham (C),27260,63168,131502,15177,209847,0.10347084449716729
2015,Yarra (C),27350,12706,67222,9223,89151,0.12064883249394989
2015,Yarra Ranges (S),27450,39136,89291,22234,150661,0.19936337144138086
2015,Yarriambiack (S),27630,1506,3372,1881,6759,0.3580810965162764
2016,Alpine (S),20110,2747,6874,2957,12578,0.30078323670023394
2016,Ararat (RC),20260,2489,6661,2595,11745,0.28035868625756266
2016,Ballarat (C),20570,27044,59244,17212,103500,0.2251229465313383
2016,Banyule (C),20660,30497,75473,21477,127447,0.22152656008251675
2016,Bass Coast (S),20740,7207,17258,8999,33464,0.3427276535780935
2016,Baw Baw (S),20830,12743,26989,9564,49296,0.2616474707958307
2016,Bayside (C),20910,26058,57609,19245,102912,0.25040986806151927
2016,Benalla (RC),21010,3061,7426,3495,13982,0.3200256386777768
2016,Boroondara (C),21110,43257,106340,27679,177276,0.2065304173288862
2016,Brimbank (C),21180,50908,126447,26835,204190,0.17506947978236193
2016,Buloke (S),21270,1404,3178,1702,6284,0.3487704918032787
2016,Campaspe (S),21370,9315,20031,8249,37595,0.2916902404526167
2016,Cardinia (S),21450,29307,57096,11170,97573,0.1636246447719216
2016,Casey (C),21610,93179,188380,31230,312789,0.14220663904193798
2016,Central Goldfields (S),21670,2818,6696,3573,13087,0.3479404031551271
2016,Colac-Otway (S),21750,5078,11831,4453,21362,0.27345860967821173
2016,Corangamite (S),21830,4097,8615,3531,16243,0.2907129919315001
2016,Darebin (C),21890,32312,101208,21606,155126,0.17592456886022767
2016,East Gippsland (S),22110,9884,23344,12372,45600,0.34639937283010414
2016,Frankston (C),22170,34779,83957,20766,139502,0.19829454847550204
2016,Gannawarra (S),22250,2396,5385,2786,10567,0.34096193856321133
2016,Glen Eira (C),22310,35476,91307,21800,148583,0.19273785000044205
2016,Glenelg (S),22410,4538,11011,4210,19759,0.2765915511464424
2016,Golden Plains (S),22490,6594,12620,2802,22016,0.18168849695240566
2016,Greater Bendigo (C),22620,29348,63685,19234,112267,0.23196131164148145
2016,Greater Dandenong (C),22670,38575,99196,22451,160222,0.1845585998832688
2016,Greater Geelong (C),22750,59057,137629,42843,239529,0.23739416640808547
2016,Greater Shepparton (C),22830,17619,36469,10984,65072,0.23147113986470824
2016,Hepburn (S),22910,3227,8639,3659,15525,0.2975280533420068
2016,Hindmarsh (S),22980,1229,3067,1488,5784,0.3266739846322722
2016,Hobsons Bay (C),23110,22241,57761,13443,93445,0.18879557328239988
2016,Horsham (RC),23190,5076,10959,3849,19884,0.25992706645056723
2016,Hume (C),23270,60987,125300,20754,207041,0.1420981280896107
2016,Indigo (S),23350,3934,9055,3176,16165,0.2596680565775489
2016,Kingston (C) (Vic.),23430,37048,95417,26476,158941,0.2172068945714684
2016,Knox (C),23670,38990,97415,23948,160353,0.19732537923419824
2016,Latrobe (C) (Vic.),23810,18335,42940,13347,74622,0.2371240250857214
2016,Loddon (S),23940,1647,3959,1952,7558,0.33023177127389614
2016,Macedon Ranges (S),24130,12937,26786,7757,47480,0.22456069247025445
2016,Manningham (C),24210,27903,69544,25123,122570,0.26538286837018177
2016,Mansfield (S),24250,2097,4574,2003,8674,0.3045461456591151
2016,Maribyrnong (C),24330,17906,60729,8307,86942,0.12032852424821833
2016,Maroondah (C),24410,28724,68312,17764,114800,0.20637576095543472
2016,Melbourne (C),24600,21200,115187,9709,146096,0.07773667691519344
2016,Melton (C),24650,44233,85586,11601,141420,0.11936781668330126
2016,Mildura (RC),24780,14266,30620,9772,54658,0.24192909487027134
2016,Mitchell (S),24850,11820,24293,5682,41795,0.189557964970809
2016,Moira (S),24900,7097,15311,7078,29486,0.316137388896333
2016,Monash (C),24970,43912,116522,32191,192625,0.21646392716171417
2016,Moonee Valley (C),25060,27449,76264,19158,122871,0.2007713105992329
2016,Moorabool (S),25150,8919,18854,4899,32672,0.20624763187807857
2016,Moreland (C),25250,35366,113842,23086,172294,0.16859955597102128
2016,Mornington Peninsula (S),25340,37854,85302,38372,161528,0.3102673156847842
2016,Mount Alexander (S),25430,3917,10764,4416,19097,0.2909090909090909
2016,Moyne (S),25490,4467,9281,2989,16737,0.24360228198859005
2016,Murrindindi (S),25620,3016,7850,3186,14052,0.2886915549111997
2016,Nillumbik (S),25710,17634,38425,8115,64174,0.17436613665663944
2016,Northern Grampians (S),25810,2472,6338,2760,11570,0.3033633765662783
2016,Port Phillip (C),25900,15946,80297,12384,108627,0.13361961998683658
2016,Pyrenees (S),25990,1507,4068,1741,7316,0.29970735066276466
2016,Queenscliffe (B),26080,494,1290,1145,2929,0.4702258726899384
2016,South Gippsland (S),26170,6981,15530,6611,29122,0.2985863330472878
2016,Southern Grampians (S),26260,3892,8592,3639,16123,0.29752268825116507
2016,Stonnington (C),26350,18912,75688,16403,111003,0.17811729702142445
2016,Strathbogie (S),26430,2065,5470,2822,10357,0.3403280270139894
2016,Surf Coast (S),26490,8020,17315,5130,30465,0.2285586990421029
2016,Swan Hill (RC),26610,5376,11734,3786,20896,0.24394329896907216
2016,Towong (S),26670,1325,3208,1513,6046,0.32048294852785425
2016,Wangaratta (RC),26700,6964,15417,6211,28592,0.28717403366007027
2016,Warrnambool (C),26730,8640,19330,6272,34242,0.2449808608702445
2016,Wellington (S),26810,10507,24596,8427,43530,0.2551857796081519
2016,West Wimmera (S),26890,918,2078,941,3937,0.3116926134481616
2016,Whitehorse (C),26980,39813,101212,28616,169641,0.22041470252950057
2016,Whittlesea (C),27070,56632,126784,23642,207058,0.1571669791126534
2016,Wodonga (C),27170,11174,23160,5766,40100,0.19933623729516697
2016,Wyndham (C),27260,69640,140599,16769,227008,0.10655914798434243
2016,Yarra (C),27350,13428,69846,9620,92894,0.12105806256763899
2016,Yarra Ranges (S),27450,40267,91685,23274,155226,0.2024547882288468
2016,Yarriambiack (S),27630,1482,3464,1797,6743,0.3415700437179244
